,payment_id,date,customer_id,employee_id,product_id,price
53,969793,1990-02-18,930391,2182,3472,91.5
54,393889,1990-02-18,406000,1132,483,25.25
55,52340,1990-02-18,522824,2437,2109,6.25
56,681533,1990-02-18,240028,497,1665,37.95
57,761198,1990-02-19,184160,974,1307,1100.0
58,968306,1990-02-20,181875,3302,4628,149.0
59,872227,1990-02-20,260048,3417,1808,99.95
60,620034,1990-02-21,513068,2524,3383,2250.0
61,374010,1990-02-22,657262,1004,79,59.95
62,566259,1990-02-22,909665,2336,1253,2.5
63,627188,1990-02-25,533232,2669,1523,99.95
64,724355,1990-02-25,423069,2556,551,250.0
65,909089,1990-02-26,228734,1511,1195,25.95
66,867008,1990-02-27,627957,1213,771,51.95
67,232630,1990-02-28,750019,403,4154,105.0
68,781893,1990-03-02,541017,477,3945,34.95
69,852417,1990-03-02,987975,1511,3173,5.25
70,777761,1990-03-02,540904,2988,3685,49.95
71,250368,1990-03-03,373886,3161,2871,62.25
72,899318,1990-03-04,83352,3636,3780,450.0
73,462202,1990-03-04,161636,3538,3484,175.0
74,193056,1990-03-05,175881,1205,2717,26.75
75,732114,1990-03-05,52953,2079,3266,69.95
76,653836,1990-03-05,441845,575,3017,275.0
77,673603,1990-03-07,821186,2306,2013,28.25
78,563309,1990-03-07,974005,3161,3054,74.75
79,685516,1990-03-08,309914,1695,3091,62.75
80,579056,1990-03-10,785196,2838,4446,127.0
81,164102,1990-03-10,220285,1384,4368,53.25
82,167932,1990-03-11,389492,2163,4163,850.0
83,146270,1990-03-13,401501,3161,2688,39.95
84,69035,1990-03-14,686925,2306,1444,49.95
85,830418,1990-03-17,252159,3636,2867,3500.0
86,206198,1990-03-17,641603,3136,949,41.95
87,885750,1990-03-17,98855,3396,3945,34.95
88,342853,1990-03-21,561386,3146,249,85.75
89,67111,1990-03-21,23729,1055,3800,41.95
90,946802,1990-03-21,522824,2046,379,55.75
91,429886,1990-03-24,307360,1213,1775,46.75
92,256903,1990-03-25,107629,1942,585,147.0
93,458140,1990-03-25,783882,2306,1284,7.75
94,704322,1990-03-27,306844,1004,3754,430.0
95,684161,1990-03-27,520472,3396,2176,39.95
96,693092,1990-03-28,194111,3338,1315,375.0
97,635097,1990-03-28,605262,2433,1325,99.95
98,333595,1990-03-28,122092,3161,3503,84.25
99,847902,1990-03-30,636882,477,3713,86.5
100,155655,1990-03-30,708831,2433,1606,105.0
101,280571,1990-03-30,487641,3561,541,34.95
102,539500,1990-03-31,225748,2012,2374,67.5
103,620123,1990-04-01,833100,619,2375,850.0
104,478301,1990-04-03,484339,900,2684,73.5
105,227185,1990-04-04,155502,984,1394,250.0
106,641693,1990-04-05,141237,69,968,5.95
107,207816,1990-04-06,208367,3412,426,73.5
108,81088,1990-04-06,355903,2603,1985,202.0
109,273464,1990-04-08,149909,1048,4334,66.75
110,149894,1990-04-09,325716,196,4178,45.75
111,813017,1990-04-10,309914,2524,2392,67.5
112,159539,1990-04-12,794090,1695,727,52.95
113,763309,1990-04-14,369979,1961,3504,250.0
114,312672,1990-04-15,504908,841,554,170.0
115,753987,1990-04-16,156130,3256,3271,39.5
116,380286,1990-04-16,501630,2079,1735,35.5
117,931965,1990-04-17,494482,1978,3139,26.75
118,310548,1990-04-21,576870,1213,1732,77.75
119,874619,1990-04-23,697022,619,671,53.25
120,988303,1990-04-24,793366,2482,244,5.95
121,360812,1990-04-24,436519,2327,4392,49.95
122,569814,1990-04-25,942152,3561,2009,5.75
123,48232,1990-04-26,174454,2826,3648,2.25
124,876082,1990-04-27,750019,1384,904,94.75
125,106020,1990-04-27,662347,2176,640,15000.0
126,843839,1990-04-27,893312,3360,4393,99.95
127,837142,1990-04-30,531449,900,1106,72.5
128,91575,1990-05-01,697022,3161,2178,31.75
129,682738,1990-05-02,751452,2012,2957,68.25
130,87152,1990-05-02,184160,2198,1683,52.5
131,155634,1990-05-02,135422,2433,1973,54.75
132,205912,1990-05-03,638980,881,2120,6.5
133,498531,1990-05-04,842849,2978,3759,7.25
134,379680,1990-05-04,208367,2282,1102,103.0
135,378894,1990-05-05,293522,3860,1225,65.5
136,983877,1990-05-06,311190,3146,4289,4500.0
137,599598,1990-05-07,97285,575,4359,110.0
138,46977,1990-05-08,12306,2826,728,84.95
139,405808,1990-05-10,930627,477,3904,139.0
140,6165,1990-05-11,474197,403,246,50.25
141,57789,1990-05-12,782311,1768,1522,83.75
142,984871,1990-05-13,219618,2524,3138,162.0
143,350896,1990-05-15,38970,3540,622,49.95
144,686862,1990-05-19,511693,2826,1272,175.0
145,412208,1990-05-19,443758,403,2859,117.0
146,805145,1990-05-20,302154,3265,2101,8.5
147,720843,1990-05-22,295377,984,2687,225.0
148,135046,1990-05-22,265696,3136,3031,6.95
149,475604,1990-05-23,152486,595,596,28.25
150,496839,1990-05-23,992930,1132,346,122.0
151,809863,1990-05-25,194229,1768,1843,2.75
152,709449,1990-05-26,622115,1743,2227,28000.0
153,509205,1990-05-26,261776,1440,4573,59.95
154,108062,1990-05-31,943735,2437,2930,145.0
155,209844,1990-06-06,610118,619,3095,2.75
156,955239,1990-06-07,474905,2173,701,212.0
157,103846,1990-06-09,71312,1416,926,26.75
158,417712,1990-06-09,189875,1978,2972,6.75
159,583265,1990-06-10,88800,2336,3123,122.0
160,930665,1990-06-12,932343,3136,1552,85.25
161,625021,1990-06-13,420070,881,2796,252.0
162,2768,1990-06-13,779975,3360,4265,49.95
163,423045,1990-06-13,866443,1440,4157,2.5
164,100205,1990-06-16,925064,619,3509,49.95
165,362656,1990-06-16,779975,841,1438,7.75
166,208813,1990-06-19,308236,2176,1640,66.75
167,84731,1990-06-19,992644,196,4342,61.95
168,59003,1990-06-21,914019,3860,2808,75.95
169,141200,1990-06-21,708831,1978,3230,450.0
170,433607,1990-06-21,753385,3538,3115,99.95
171,210583,1990-06-22,729681,3573,818,45.95
172,486743,1990-06-22,769692,783,1704,28.95
173,292564,1990-06-24,988969,1004,3728,60.25
174,807618,1990-06-25,304419,3136,3888,250.0
175,653994,1990-06-26,754189,993,910,107.0
176,763520,1990-06-26,240028,823,3748,95.75
177,692784,1990-06-26,832825,2628,1114,34.95
178,849557,1990-06-28,176438,2482,1817,59.95
179,965935,1990-06-29,488186,3146,405,23.95
180,572751,1990-06-30,140541,2482,407,120.0
181,805210,1990-07-02,930391,1453,2759,4500.0
182,73933,1990-07-03,637035,1048,1301,47.5
183,730482,1990-07-03,551519,1137,3576,137.0
184,442604,1990-07-03,522824,2559,1672,6.95
185,970585,1990-07-03,974005,598,3371,17.95
186,451242,1990-07-05,765040,1137,4635,34.75
187,857449,1990-07-06,527143,2482,2209,69.95
188,949953,1990-07-08,205715,783,3813,140.0
189,345543,1990-07-10,972825,1416,3002,17.95
190,605550,1990-07-10,299121,984,2912,262.0
191,878523,1990-07-11,574732,3417,3735,4000.0
192,940513,1990-07-12,834669,477,4122,41.95
193,839804,1990-07-14,626942,598,475,8.75
194,232776,1990-07-17,618361,1453,2691,49.95
195,591151,1990-07-18,13257,403,2756,250.0
196,484077,1990-07-22,171923,3839,125,64.95
197,173898,1990-07-23,24680,3412,147,58.5
198,9578,1990-07-23,602457,409,1979,26.75
199,480103,1990-07-27,752060,1004,545,69.5
200,942228,1990-07-27,214208,497,4353,49.95
201,959261,1990-07-28,982515,900,317,56.75
202,452121,1990-07-30,752060,841,945,15000.0
203,331783,1990-07-30,148627,1490,3536,149.0
204,606874,1990-07-31,872504,2669,3778,149.0
205,890505,1990-08-01,423069,1048,608,30.5
206,112664,1990-08-02,947544,1248,975,96.5
207,477172,1990-08-03,686925,1384,4244,91.95
208,841195,1990-08-03,657262,69,1289,95.75
209,596298,1990-08-04,839858,1942,3244,21.5
210,530932,1990-08-04,814966,230,4668,3.25
211,992657,1990-08-05,869674,3412,569,46.5
212,547430,1990-08-07,484339,2033,1327,54.95
213,26103,1990-08-07,191482,159,1162,46.95
214,475672,1990-08-11,463792,3302,4515,36.25
215,268663,1990-08-11,743406,2306,1177,5.25
216,117900,1990-08-12,588209,3877,3422,5.25
217,862586,1990-08-13,248818,2079,4152,46.5
218,872356,1990-08-13,90781,3360,27,48.25
219,82922,1990-08-15,481626,2556,3427,58.75
220,828601,1990-08-15,155502,2079,1744,199.0
221,516546,1990-08-15,635331,841,2956,4.95
222,925218,1990-08-15,404462,2046,4040,375.0
223,107816,1990-08-17,178082,3146,1402,89.95
224,714523,1990-08-17,967387,974,200,99.95
225,956991,1990-08-17,360746,1004,2084,10000.0
226,995130,1990-08-19,730028,1248,3919,45.5
227,943443,1990-08-19,275211,3573,3587,6.25
228,851859,1990-08-20,704755,3396,4017,36.25
229,590376,1990-08-20,298661,2033,227,3500.0
230,715699,1990-08-21,518837,783,4619,94.75
231,192808,1990-08-22,662664,1137,1473,1000.0
232,631669,1990-08-23,442446,2176,686,62.95
233,605898,1990-08-23,724352,3360,1353,49.95
234,403086,1990-08-24,584052,575,2584,79.25
235,506226,1990-08-24,441845,1768,2052,34.95
236,899050,1990-08-25,942152,3338,1074,66.5
237,788572,1990-08-26,812761,3338,4003,37500.0
238,997392,1990-08-27,542933,672,2965,21.95
239,659986,1990-08-28,129829,2843,2854,352.0
240,90502,1990-08-29,256691,2826,4070,450.0
241,778695,1990-08-30,707601,1961,821,139.0
242,307066,1990-08-30,410674,1490,4525,6.25
243,469511,1990-08-30,194551,1048,206,58.75
244,335092,1990-08-31,862707,2628,1919,5.75
245,53414,1990-08-31,10447,3573,644,7500.0
246,470164,1990-09-01,129829,69,1263,59.95
247,723491,1990-09-01,301991,1490,909,69.5
248,440713,1990-09-04,577423,3531,2032,110.0
249,176368,1990-09-04,60209,3161,90,34.95
250,196689,1990-09-05,319711,3538,1194,99.95
251,605407,1990-09-06,212272,2978,4162,199.0
252,570568,1990-09-06,52953,598,375,4.95
253,882089,1990-09-06,618361,595,1451,72.25
254,767143,1990-09-08,11031,3636,3124,5.75
255,67711,1990-09-10,918362,3412,3349,6.95
256,669186,1990-09-12,957043,1048,269,1500.0
257,506533,1990-09-12,237512,2978,1685,76.5
258,522761,1990-09-13,171923,3924,2836,130.0
259,383097,1990-09-15,5542,2282,1116,87.95
260,762931,1990-09-16,306131,993,475,8.75
261,369017,1990-09-17,120663,2482,3339,175.0
262,680439,1990-09-17,857803,2176,2159,26.95
263,920796,1990-09-20,225748,2482,3569,247.0
264,250833,1990-09-20,877502,3256,4198,41.95
265,901294,1990-09-20,954762,2127,978,175.0
266,413441,1990-09-21,33572,2524,2723,61.25
267,791377,1990-09-22,941556,2437,2056,128.0
268,680560,1990-09-22,686586,1004,2665,6.95
269,492842,1990-09-23,865401,2607,3044,6.25
270,836060,1990-09-23,662527,672,1904,88.5
271,947503,1990-09-23,321533,1205,2227,28000.0
272,544481,1990-09-23,641603,2198,3595,450.0
273,443358,1990-09-23,431989,3302,350,10.95
274,313254,1990-09-24,993264,595,1100,52.95
275,40499,1990-09-26,807031,10,4176,25.5
276,923504,1990-09-28,72628,993,3486,140.0
277,428058,1990-09-29,622905,1942,3417,399.0
278,547330,1990-09-29,922719,230,1727,37.75
279,32177,1990-09-29,605262,881,164,39.95
280,955091,1990-09-30,729681,2336,3775,6.95
281,350582,1990-10-01,420595,2046,1256,57.95
282,635986,1990-10-01,165264,2826,802,51.5
283,71103,1990-10-02,360581,598,825,200.0
284,398569,1990-10-05,576269,3360,241,240.0
285,459119,1990-10-05,87624,3636,419,49.95
286,38207,1990-10-07,453373,575,2675,17.25
287,852295,1990-10-08,236160,2978,4428,35.5
288,689896,1990-10-09,963516,2437,3813,140.0
289,182339,1990-10-10,606910,900,3932,225.0
290,689789,1990-10-10,915596,2127,1678,9.75
291,912752,1990-10-14,825752,477,3368,31.75
292,659513,1990-10-14,348963,2198,3731,102.0
293,135651,1990-10-16,493347,1384,414,64.75
294,188874,1990-10-18,585316,69,1693,44.75
295,204888,1990-10-18,165631,823,2581,1000.0
296,971250,1990-10-18,556899,598,3721,89.95
297,222829,1990-10-19,778340,1416,2898,25000.0
298,594392,1990-10-19,689473,1490,2272,145.0
299,436033,1990-10-20,220076,984,1344,45.5
300,89066,1990-10-21,915596,1205,3793,15000.0
301,338231,1990-10-24,12306,2524,3544,199.0
302,722254,1990-10-25,105043,497,1288,5.95
303,81404,1990-10-26,563214,2012,1863,237.0
304,637293,1990-10-26,781764,1975,2459,20000.0
305,513023,1990-10-27,522741,1440,3045,51.75
306,739811,1990-11-01,463792,823,232,5.75
307,293662,1990-11-03,425062,619,2155,22.5
308,108878,1990-11-06,883524,2046,3794,238.0
309,97191,1990-11-06,327323,595,3952,250.0
310,10199,1990-11-06,755084,841,2669,91.5
311,997748,1990-11-07,73047,3839,4200,96.95
312,155246,1990-11-08,700536,3561,1580,70.75
313,591122,1990-11-08,276736,2336,2073,125.0
314,102241,1990-11-10,678268,1975,3827,199.0
315,392701,1990-11-10,40947,409,2766,46.25
316,551610,1990-11-10,741275,2843,682,49.95
317,660753,1990-11-11,697022,2843,709,39.95
318,695965,1990-11-11,154947,1768,965,5.75
319,300617,1990-11-11,154073,2046,2093,91.25
320,307266,1990-11-12,441845,3146,1235,7500.0
321,990357,1990-11-12,10447,3877,712,78.25
322,187179,1990-11-12,602457,779,649,66.25
323,754642,1990-11-12,796593,3636,755,244.0
324,938754,1990-11-18,967760,598,2243,94.75
325,990680,1990-11-18,72994,2556,2390,10.25
326,636280,1990-11-20,434300,3396,1036,49.95
327,644152,1990-11-23,288177,3136,45,50.25
328,963995,1990-11-25,985543,3265,3598,79.95
329,914130,1990-11-27,801816,2198,4209,7.25
330,828744,1990-11-27,395001,403,3484,175.0
331,93218,1990-11-27,501821,3146,3531,25.25
332,586816,1990-11-28,988406,1453,536,7.75
333,589842,1990-11-29,105043,3531,819,699.0
334,475574,1990-11-29,656008,2838,2624,99.95
335,721569,1990-11-30,410674,2437,1581,250.0
336,144823,1990-12-02,63663,2607,4140,68.5
337,715600,1990-12-03,804064,2127,216,72.25
338,45966,1990-12-03,673621,1384,127,7.75
339,146068,1990-12-04,411423,3396,3358,8.75
340,51197,1990-12-04,941209,619,2163,21.95
341,50883,1990-12-06,304182,2193,1917,145.0
342,714671,1990-12-07,181875,409,819,699.0
343,191971,1990-12-09,762682,1978,4660,8.75
344,647067,1990-12-09,775497,409,2607,50.95
345,667429,1990-12-10,741605,230,4321,68.75
346,672801,1990-12-10,359492,1978,3040,58.75
347,575914,1990-12-12,70040,2173,2162,34.25
348,566352,1990-12-12,326804,2669,3826,67.5
349,886918,1990-12-19,663319,1440,4625,57.75
350,252987,1990-12-20,628414,159,2060,27.95
351,969706,1990-12-23,69088,159,1974,4.95
352,440031,1990-12-23,689473,984,3090,36.5
353,637084,1990-12-24,636005,3636,4325,59.95
354,255705,1990-12-27,80106,1048,114,26.5
355,809499,1990-12-27,425062,841,4615,225.0
356,738239,1990-12-27,301991,2176,1172,65.75
357,734191,1990-12-28,33276,783,1989,53.5
358,74597,1990-12-29,833100,196,2949,69.95
359,863880,1990-12-29,972689,3924,1705,340.0
360,191776,1990-12-31,394216,1768,3506,86.5
361,495654,1991-01-01,298661,1132,54,14.95
362,152982,1991-01-02,559597,1768,2590,35.25
363,484244,1991-01-02,481946,3256,2424,129.0
364,555809,1991-01-04,862707,2176,2293,699.0
365,800432,1991-01-06,333366,3412,3755,212.0
366,910799,1991-01-07,775794,3338,1821,146.0
367,91205,1991-01-10,308236,69,2493,99.95
368,638349,1991-01-11,346649,2603,3680,225.0
369,807821,1991-01-11,389492,672,3826,67.5
370,517476,1991-01-11,435523,984,3281,59.95
371,611646,1991-01-12,623970,1768,1594,1500.0
372,172076,1991-01-12,804064,3265,1903,45.5
373,412072,1991-01-16,63663,1248,616,56.5
374,722569,1991-01-17,666905,1490,4214,350.0
375,617570,1991-01-18,83916,1205,2211,23.75
376,15229,1991-01-18,154863,3508,3181,9.95
377,41337,1991-01-19,627957,1961,3371,17.95
378,837347,1991-01-19,207796,900,132,199.0
379,332567,1991-01-20,656008,3531,3888,250.0
380,215575,1991-01-20,302154,1248,2386,94.95
381,562356,1991-01-23,613742,3396,467,62.25
382,574293,1991-01-24,102114,2290,2884,3000.0
383,616763,1991-01-24,985543,2988,4527,49.95
384,621717,1991-01-25,618361,3508,2895,427.0
385,433937,1991-01-27,577423,2978,944,117.0
386,255955,1991-01-27,619300,1743,1128,22.5
387,604726,1991-01-28,110707,3793,1524,39.95
388,810323,1991-01-28,963516,196,1937,68.95
389,46758,1991-01-28,405703,2607,1530,299.0
390,91172,1991-01-29,865401,1975,2772,250.0
391,140624,1991-01-30,575084,1453,1639,65.5
392,822089,1991-01-31,563214,230,1082,5.25
393,55847,1991-02-01,348963,2282,1068,59.5
394,368106,1991-02-01,778340,2628,1894,49.95
395,830150,1991-02-01,380380,1942,4662,7.75
396,52124,1991-02-02,870204,1768,4366,24.25
397,312616,1991-02-03,70878,477,468,39.5
398,411854,1991-02-04,5542,3412,3586,139.0
399,797607,1991-02-04,988969,477,3541,13.95
400,573786,1991-02-05,10403,3396,3240,350.0
401,156479,1991-02-06,164303,1416,3081,65.5
402,621667,1991-02-06,852735,3338,764,5.75
403,163626,1991-02-06,540683,1440,2163,21.95
404,111170,1991-02-07,476986,477,3229,250.0
405,836702,1991-02-08,352758,619,1772,59.95
406,492980,1991-02-08,361951,3877,3675,76.75
407,566752,1991-02-08,501821,2163,1960,99.95
408,563918,1991-02-08,173965,1213,1394,250.0
409,774128,1991-02-12,758968,881,1718,64.95
410,977134,1991-02-12,389863,2954,686,62.95
411,710952,1991-02-14,262015,881,487,105.0
412,274865,1991-02-15,103076,2524,2805,142.0
413,48168,1991-02-17,219618,1416,1857,84.25
414,342710,1991-02-18,483696,595,1319,40.95
415,750042,1991-02-18,847627,2603,2347,65.5
416,520529,1991-02-20,942152,2843,303,5.95
417,148963,1991-02-22,80106,3860,3825,96.75
418,827301,1991-02-22,752060,2193,3157,5.75
419,445969,1991-02-25,982515,2046,3085,102.0
420,815268,1991-02-25,596328,1055,869,12.95
421,111171,1991-02-26,627597,403,1028,2.5
422,946633,1991-02-26,542933,841,2878,2.25
423,91601,1991-02-28,401501,595,4284,5500.0
424,236174,1991-02-28,5542,2193,1249,5.95
425,463081,1991-03-04,490747,10,525,67.5
426,666013,1991-03-06,7320,3417,720,66.95
427,694516,1991-03-07,513068,783,4518,74.95
428,394898,1991-03-07,327199,993,1608,49.5
429,336346,1991-03-10,747956,1048,4448,2500.0
430,814144,1991-03-11,837861,3360,4070,450.0
431,909603,1991-03-11,517875,3508,1657,66.5
432,419741,1991-03-11,682292,1490,4352,103.0
433,248,1991-03-11,791715,196,2629,58.95
434,562396,1991-03-11,222383,2079,2342,304.0
435,410096,1991-03-11,767625,2163,13,252.0
436,578007,1991-03-15,310393,2127,3088,58.95
437,30792,1991-03-17,854858,3508,4190,59.95
438,707229,1991-03-18,88800,2282,1728,5000.0
439,458499,1991-03-19,708831,2628,4477,85000.0
440,398799,1991-03-22,445390,984,3901,77.95
441,244690,1991-03-25,745774,159,2042,247.0
442,392119,1991-03-26,346456,3417,3848,65.75
443,578135,1991-03-27,167393,3636,3627,138.0
444,320812,1991-03-27,219618,2524,2676,4.95
445,705990,1991-04-01,142474,2336,3347,250.0
446,993239,1991-04-01,17656,230,2526,212.0
447,375838,1991-04-02,997059,3573,1635,15000.0
448,958288,1991-04-05,239930,1743,2851,76.5
449,847357,1991-04-06,327323,3538,3503,84.25
450,715290,1991-04-06,283810,477,953,49.95
451,176900,1991-04-07,893312,2826,2470,68.75
452,856819,1991-04-10,17656,974,622,49.95
453,349713,1991-04-11,535019,3538,2957,68.25
454,102379,1991-04-12,637035,1248,4159,24.25
455,136083,1991-04-12,431852,3561,2116,69.95
456,249152,1991-04-13,606910,2127,2248,19.75
457,190911,1991-04-15,605262,2978,194,40.75
458,769745,1991-04-15,540904,1490,2831,123.0
459,829834,1991-04-16,406399,1384,4157,2.5
460,92937,1991-04-16,154863,2290,3916,40.75
461,196526,1991-04-18,91703,3265,2546,43.95
462,488156,1991-04-19,93108,1695,4076,76.0
463,186189,1991-04-19,715881,2127,724,48.25
464,387549,1991-04-19,339867,2556,2278,275.0
465,62004,1991-04-20,778332,1453,3151,6.25
466,955308,1991-04-21,888674,881,342,49.95
467,481363,1991-04-23,122092,2306,165,49.25
468,226551,1991-04-25,794741,2437,1686,750.0
469,380307,1991-04-26,697022,2198,296,299.0
470,226374,1991-04-27,100031,1975,2042,247.0
471,143175,1991-04-27,406399,779,3446,62.25
472,687254,1991-04-28,764580,3396,3334,71.95
473,377872,1991-04-30,229734,2046,3144,64.95
474,300798,1991-04-30,294339,2182,789,71.95
475,71036,1991-05-01,711452,2182,1183,3.95
476,858132,1991-05-01,847627,3573,4560,5.95
477,596766,1991-05-02,330242,3396,4587,250.0
478,303110,1991-05-02,519264,779,1126,49.5
479,168811,1991-05-03,66369,1205,3133,43.95
480,585206,1991-05-04,848033,1004,3223,69.95
481,432427,1991-05-04,778236,497,1779,44.75
482,77614,1991-05-04,551519,3360,3167,36.95
483,114393,1991-05-05,625360,2826,401,85.25
484,262168,1991-05-05,304419,2127,3228,67.5
485,368694,1991-05-06,386625,2046,1416,43.95
486,582736,1991-05-11,429728,1768,1603,2000.0
487,103795,1991-05-11,867786,3396,3305,48.25
488,833850,1991-05-12,15885,196,682,49.95
489,994309,1991-05-14,992930,3561,842,99.95
490,629427,1991-05-16,818373,3538,3853,21.75
491,213880,1991-05-16,61299,2437,2371,48.95
492,733707,1991-05-17,88800,2843,2968,117.0
493,620847,1991-05-17,707064,1695,3133,43.95
494,268737,1991-05-17,808452,409,1955,34.95
495,255742,1991-05-19,408206,823,4102,82.75
496,312522,1991-05-19,97060,3302,277,69.95
497,562316,1991-05-19,655294,823,460,97.75
498,278182,1991-05-20,775497,2437,2522,49.95
499,807493,1991-05-21,626733,2163,1561,21.75
500,616932,1991-05-21,776343,2306,4650,800.0
501,708072,1991-05-22,807031,595,2977,11000.0
502,58167,1991-05-23,653811,2669,4249,5.25
503,357126,1991-05-23,207796,2559,1547,65.5
504,335547,1991-05-25,372820,1743,3243,350.0
505,71942,1991-05-27,913456,2198,3687,49.95
506,934208,1991-05-28,612235,2843,840,59.95
507,443641,1991-05-28,847627,672,1163,29.95
508,749252,1991-05-29,47830,2182,2751,250.0
509,830885,1991-05-29,312290,3265,1318,5.95
510,674988,1991-05-31,955006,477,1334,150000.0
511,590605,1991-05-31,325716,1768,2491,218.0
512,72326,1991-06-01,339867,3338,3839,5.95
513,286460,1991-06-01,275211,2603,527,109.0
514,349297,1991-06-02,655155,409,196,81.25
515,524250,1991-06-02,481946,779,4668,3.25
516,996149,1991-06-03,436519,3338,3549,237.0
517,203690,1991-06-03,562664,3338,1615,225.0
518,254003,1991-06-04,456317,1440,4598,62.25
519,969541,1991-06-07,26041,900,489,120.0
520,200706,1991-06-07,994146,2433,2752,40.5
521,98716,1991-06-08,706755,1978,1325,99.95
522,328703,1991-06-09,833838,3839,36,91.95
523,315966,1991-06-12,453373,3302,1918,63.5
524,845732,1991-06-15,102277,3531,1783,27.25
525,875611,1991-06-17,83352,598,3049,66.75
526,739491,1991-06-18,868055,2282,2314,3000.0
527,182038,1991-06-18,854433,3146,2306,71.25
528,873782,1991-06-20,91785,2838,540,55.75
529,191460,1991-06-20,610118,230,4600,109.0
530,43661,1991-06-21,154073,3531,3290,2.25
531,507736,1991-06-22,265930,2603,167,60.5
532,77865,1991-06-25,293049,779,4107,9.95
533,109969,1991-06-28,144871,900,3520,29.5
534,334745,1991-06-28,954762,2482,1979,26.75
535,128845,1991-06-29,192606,3412,118,10.75
536,48134,1991-06-29,191482,2163,4606,170.0
537,590913,1991-07-01,863605,2954,3524,5000.0
538,275796,1991-07-03,113964,2978,3642,3.75
539,995221,1991-07-03,602211,2127,4023,225.0
540,200806,1991-07-03,431989,3338,905,112.0
541,814615,1991-07-03,646597,2838,1752,7.5
542,988461,1991-07-06,455727,3538,654,54.95
543,982415,1991-07-08,817007,841,2273,5.75
544,201057,1991-07-09,238754,3417,3536,149.0
545,820567,1991-07-09,494482,1248,3797,65.75
546,693705,1991-07-10,245640,1213,2527,699.0
547,169841,1991-07-11,586747,3540,3228,67.5
548,130530,1991-07-12,935506,841,242,6.5
549,323959,1991-07-14,619300,619,4669,23.75
550,139290,1991-07-15,393395,497,3874,94.95
551,561748,1991-07-16,5542,196,3337,7.25
552,464789,1991-07-16,240028,3161,1965,2000.0
553,928101,1991-07-16,585869,3561,618,482.0
554,906559,1991-07-17,609843,2290,316,81.5
555,153060,1991-07-18,694169,1055,1340,170.0
556,224285,1991-07-18,930881,1248,4222,142.0
557,427742,1991-07-21,593071,2046,1872,39.95
558,300856,1991-07-23,304419,2173,4477,85000.0
559,214368,1991-07-24,362227,409,2330,55.25
560,785952,1991-07-26,649754,2193,1768,73.5
561,652709,1991-07-26,813279,3302,2164,35.5
562,402004,1991-07-28,378199,3540,1998,225.0
563,76244,1991-07-29,576269,3136,2148,66.5
564,732425,1991-07-30,227681,3561,3604,63.5
565,546530,1991-07-30,12479,881,235,299.0
566,822373,1991-08-01,833838,2669,1986,209.0
